Tiempo_s,Canal_1,Canal_2
4.4453,-2663,-2601
4.4531,-2529,-2742
4.4609,-2499,-2455
4.4688,-2563,-2245
4.4766,-2616,-2694
4.4844,-2522,-2418
4.4922,-2513,-2498
4.5000,-2621,-2600
4.5078,-2585,-2345
4.5156,-2484,-2190
4.5234,-2202,-1945
4.5312,-2237,-1666
4.5391,-2571,-2255
4.5469,-2640,-2200
4.5547,-2389,-1777
4.5625,-2307,-1747
4.5703,-2474,-1882
4.5781,-2380,-1685
4.5859,-2304,-1952
4.5938,-2596,-2091
4.6016,-2695,-2206
4.6094,-2443,-1874
4.6172,-2215,-1561
4.6250,-2294,-1695
4.6328,-2194,-1822
4.6406,-2274,-1691
4.6484,-2385,-1861
4.6562,-1884,-1636
4.6641,-2053,-1570
4.6719,-2832,-1741
4.6797,-2291,-1640
4.6875,-1812,-1403
4.6953,-2354,-1608
4.7031,-2454,-1319
4.7109,-2146,-1574
4.7188,-2633,-2204
4.7266,-2932,-2046
4.7344,-2704,-1460
4.7422,-2639,-1805
4.7500,-2860,-1961
4.7578,-3044,-1429
4.7656,-2852,-1570
4.7734,-2929,-2026
4.7812,-2969,-1588
4.7891,-2826,-1815
4.7969,-2960,-2042
4.8047,-2964,-1325
4.8125,-2923,-1510
4.8203,-3103,-2310
4.8281,-2974,-1807
4.8359,-2796,-1659
4.8438,-3228,-1965
4.8516,-3236,-1901
4.8594,-3036,-1796
4.8672,-3227,-1631
4.8750,-3100,-1358
4.8828,-2951,-1998
4.8906,-3339,-2230
4.8984,-3166,-1832
4.9062,-3160,-1727
4.9141,-3233,-1834
4.9219,-3266,-1770
4.9297,-3213,-1847
4.9375,-3290,-1792
4.9453,-3091,-1917
4.9531,-3075,-1716
4.9609,-3099,-1734
4.9688,-3236,-1966
4.9766,-3221,-1982
4.9844,-3300,-1697
4.9922,-3340,-1661
5.0000,-3255,-1633
5.0078,-3094,-1838
5.0156,-3003,-1943
5.0234,-2784,-1678
5.0312,-3075,-1471
5.0391,-3257,-1636
5.0469,-3076,-1713
5.0547,-3117,-1911
5.0625,-3117,-1834
5.0703,-2957,-1588
5.0781,-3302,-1727
5.0859,-3314,-1882
5.0938,-3139,-1772
5.1016,-3176,-1667
5.1094,-3313,-1740
5.1172,-3294,-1909
5.1250,-3067,-1712
5.1328,-3105,-1605
5.1406,-3369,-1865
5.1484,-3165,-1822
5.1562,-2971,-1247
5.1641,-3189,-1523
5.1719,-3367,-1951
5.1797,-3210,-1748
5.1875,-3103,-1697
5.1953,-3065,-2037
5.2031,-3513,-2152
5.2109,-3845,-2230
5.2188,-3645,-2143
5.2266,-3367,-2001
5.2344,-3471,-2036
5.2422,-3479,-2041
5.2500,-3391,-1820
5.2578,-3471,-1890
5.2656,-3548,-1904
5.2734,-3407,-1716
5.2812,-3341,-1675
5.2891,-3314,-1722
5.2969,-3206,-1715
5.3047,-3301,-1921
5.3125,-3329,-2035
5.3203,-3198,-1767
5.3281,-3285,-1557
5.3359,-3338,-1786
5.3438,-3184,-1932
5.3516,-3306,-1684
5.3594,-3363,-1550
5.3672,-3334,-1821
5.3750,-3277,-1959
5.3828,-3206,-1791
5.3906,-3305,-1593
5.3984,-3171,-1830
5.4062,-3081,-2125
5.4141,-3271,-1999
5.4219,-3341,-1745
5.4297,-3142,-1831
5.4375,-3033,-1858
5.4453,-2895,-1813
5.4531,-2755,-1832
5.4609,-2797,-1941
5.4688,-2850,-1766
5.4766,-2849,-1536
5.4844,-2823,-1702
5.4922,-2820,-1903
5.5000,-2896,-2007
5.5078,-2934,-1993
5.5156,-2949,-1715
5.5234,-2926,-1698
5.5312,-2683,-2055
5.5391,-2687,-2067
5.5469,-2834,-1919
5.5547,-2705,-1933
5.5625,-2501,-1748
5.5703,-2429,-1679
5.5781,-2686,-1844
5.5859,-2712,-1776
5.5938,-2532,-1543
5.6016,-2555,-1740
5.6094,-2756,-2021
5.6172,-2655,-2047
5.6250,-2560,-1910
5.6328,-2724,-1888
5.6406,-2844,-1977
5.6484,-2753,-1685
5.6562,-2696,-1741
5.6641,-2675,-2100
5.6719,-2540,-1995
5.6797,-2547,-1588
5.6875,-2618,-1808
5.6953,-2624,-2086
5.7031,-2525,-2049
