registro,lado,metodo_espectral,bandwidth_B,suavizado,mascara,modo,SpSmooth_s,shift_s,segundos_enmascarados,porcentaje_enmascarado,n,Pearson,MAE,RMSE,bias
L04301923,izquierda,CWT Morlet,3.0,rolling,ARTF2,bilateral,30,6,922,12.805555555555555,376380,0.9808341973927652,2.7100982681210346,3.0429955481431037,2.236188566303142
L04301923,izquierda,CWT Morlet,3.0,rolling,base,bilateral,30,6,31,0.4305555555555556,429780,0.9787837773033332,2.692519461913621,3.013701290234447,2.1444609397071708
L04301923,izquierda,CWT Morlet,6.0,ewm,ARTF2,bilateral,30,7,922,12.805555555555555,376320,0.9818183838201648,2.5072921627493074,2.8518099777227115,2.0160099280822066
L04301923,izquierda,CWT Morlet,6.0,ewm,base,bilateral,30,8,31,0.4305555555555556,429660,0.9812339951509353,2.4605788104496105,2.801691184817283,1.9413466287623822
L04301923,izquierda,CWT Morlet,6.0,rolling,ARTF2,bilateral,30,6,922,12.805555555555555,376380,0.9800969384811969,2.5190768829541725,2.8747692590139406,2.01482392000243
L04301923,izquierda,CWT Morlet,6.0,rolling,base,bilateral,30,6,31,0.4305555555555556,429780,0.9788362114865703,2.5005130638006077,2.8399295474411743,1.9420780683934211
L04301923,izquierda,CWT Morlet,12.0,ewm,ARTF2,bilateral,30,7,922,12.805555555555555,376320,0.981367940746323,2.3471790054944908,2.714156180340818,1.8336944867804508
L04301923,izquierda,CWT Morlet,12.0,ewm,base,bilateral,30,7,31,0.4305555555555556,429720,0.9808955267389399,2.3087790694780894,2.6701203948739054,1.7838697303725346
L04301923,izquierda,CWT Morlet,12.0,rolling,ARTF2,bilateral,30,6,922,12.805555555555555,376380,0.9788481504867127,2.3648534442936033,2.753430118917761,1.8329281398313833
L04301923,izquierda,CWT Morlet,12.0,rolling,base,bilateral,30,6,31,0.4305555555555556,429780,0.9779586327187716,2.351325834050825,2.7214966141118904,1.7844496894270525
L04301923,izquierda,Welch,,ewm,ARTF2,bilateral,30,7,922,12.805555555555555,376320,0.9889061165401648,0.9171328541897905,1.3326041439599987,0.10478304789316888
