registro,modo,lado,metodo,SpSmooth_s,shift_s,n,Pearson,MAE,RMSE
L05141322,bilateral,derecha,Welch,30,5,162360,0.9457291096390523,1.7367425822757974,2.3780594729475353
L05141322,bilateral,derecha,Welch,30,6,162300,0.9459089731866055,1.7372591406740052,2.374811003945357
L05141322,bilateral,derecha,Welch,30,7,162240,0.9457590129231942,1.7444767889645572,2.3778160075519557
L05141322,bilateral,derecha,Welch,30,8,162180,0.9452827382114544,1.7574346886686487,2.3869339834694174
L05141322,bilateral,derecha,Welch,30,9,162120,0.9444953077942716,1.7755139015435752,2.401845331313924
L05141322,bilateral,derecha,Welch,30,10,162060,0.9434138851406427,1.7985467707832643,2.422139310860275
L05141322,bilateral,derecha,Welch,30,11,162000,0.942057991686633,1.8257266986477698,2.447318748740539
L05141322,bilateral,derecha,Welch,30,12,161940,0.9404483439300507,1.8561035422802135,2.476847129060323
L05141322,bilateral,derecha,Welch,30,13,161880,0.9386083272704878,1.8891988055920355,2.510163965652338
L05141322,bilateral,derecha,Welch,30,14,161820,0.9365636589186696,1.9242186800926482,2.546644576813581
L05141322,bilateral,derecha,Welch,30,15,161760,0.9343405550516864,1.960760219220288,2.5857026465287203
L05141322,bilateral,derecha,Welch,30,16,161700,0.9319618111820254,1.9982172906034186,2.6268292693074904
L05141322,bilateral,derecha,Welch,30,17,161640,0.929449036299195,2.0362659587064353,2.669537201073971
L05141322,bilateral,derecha,Welch,30,18,161580,0.9268246795348825,2.0745799877114113,2.713407156414615
L05141322,bilateral,derecha,Welch,30,19,161520,0.9241100831664029,2.113448623146383,2.7580730936416096
L05141322,bilateral,derecha,Welch,30,20,161460,0.921327969936926,2.1524280687007287,2.8031122330448635
L05141322,bilateral,derecha,Welch,30,21,161400,0.9184994211902835,2.1914232312390047,2.848167314952966
L05141322,bilateral,derecha,Welch,30,22,161340,0.9156467937456086,2.2298184346915106,2.8928718103488
L05141322,bilateral,derecha,Welch,30,23,161280,0.9127881457172087,2.267436907376748,2.93698552110362
L05141322,bilateral,derecha,Welch,30,24,161220,0.9099393410172165,2.3039604217874756,2.9802959203392025
L05141322,bilateral,derecha,Welch,30,25,161160,0.9071101974014281,2.3394190615952875,3.0226534711704014
L05141322,bilateral,derecha,Welch,30,26,161100,0.9043124027780937,2.3740445804216352,3.0639399380999492
L05141322,bilateral,derecha,Welch,30,27,161040,0.90155821765785,2.4075423621069767,3.1039985675218715
L05141322,bilateral,derecha,Welch,30,28,160980,0.8988556631211019,2.4398350172966756,3.142810929373701
L05141322,bilateral,derecha,Welch,30,29,160920,0.8962151630829974,2.4710613128802184,3.180261933909098
L05141322,bilateral,derecha,Welch,30,30,160860,0.8936448526831566,2.5010297738498455,3.216288542214527
L05141322,bilateral,derecha,spectrogram,30,0,162660,0.940986294375539,1.807561217097019,2.4649646236560803
L05141322,bilateral,derecha,spectrogram,30,1,162600,0.9423293188947758,1.7869764099079066,2.4406465022161767
L05141322,bilateral,derecha,spectrogram,30,2,162540,0.9434882342870186,1.7690488005163232,2.4194741641363287
L05141322,bilateral,derecha,spectrogram,30,3,162480,0.9444581269589385,1.7542366944577763,2.401606315840615
